"Territorio","COD_INE","dif2191","Dist_capital","mas15percen","eros_mod_grave","Tasa_desempleo","b_ancha","subsidios_poblacion","Gastos_habit","ind_ambiental","ind_social","ind_economico","vulner"
"Ca<f1>ete de las Torres",14014,-0.133656509695291,44.481245742,0.00785549682935909,72.502988806,21.0296048,0.0245762070835908,0.0553728070152355,1305.234872145,"3","1","4","3"
"Carcabuey",14015,-0.181550126368997,82.483853066,0.192443103980512,52.381623449,18.7931034,0.342277032756931,0.0286787419334457,1377.823723051,"4","1","3","3"
"Carde<f1>a",14016,-0.218601493550577,73.772957179,0.0716097774825206,3.086779266,23.1640357,0.589119042270022,0.019121973299389,1392.621979866,"2","2","3","2"
"Carlota (La)",14017,0.24402586449255,30.132728733,0.00369201893993456,7.988902326,23.3305509,0.342277032756931,0.034462562083919,1051.522457151,"1","3","3","2"
"Carpio (El)",14018,-0.00273847558192606,28.227073434,0.0174799818269993,30.948940269,27.6826169,0.342277032756931,0.025483036665906,1149.834492357,"1","3","3","2"
"Castro del R<ed>o",14019,-0.0457364341085271,41.98286978,0.0150522710135954,57.942728343,20.7894737,0.0198439674776995,0.0543712316976744,873.109316174,"3","1","4","3"
"Conquista",14020,-0.327956989247312,86.955556853,0.00498888064758492,0,24.33281,0.0245762070835908,0.00649641577956989,2551.681978892,"2","2","2","1"
"C<f3>rdoba (capital)",14021,0.0434655712560274,0,0.0593535051354055,33.921394481,28.0621979,0.0245762070835908,0.00112242331665999,931.665947664,"1","2","1","1"
"Do<f1>a Menc<ed>a",14022,-0.0712578752987182,61.162472064,0.161633902777132,42.689199119,22.4150018,0.342277032756931,0.0701354189289594,951.587542044,"3","1","4","4"
"Dos Torres",14023,-0.0971238015839933,79.670779746,0.00147477149542217,0.021786492,22.5208333,0.0245762070835908,0.00312630262609421,1083.709124844,"2","1","1","1"
"Encinas Reales",14024,-0.0531914893617021,80.481299691,0.0619875510253435,53.899392302,25.0097771,0.0245762070835908,0.0462470449202128,1211.992275954,"3","2","4","4"
"Espejo",14025,-0.187958435207824,34.941030699,0.0183877777366723,56.423023302,19.6522859,0.0245762070835908,0.0724837000855746,1140.584571944,"2","1","4","3"
"Espiel",14026,-0.0222772277227723,46.893760332,0.154734757662996,16.421212394,27.0068027,0.342277032756931,0.00223459845709571,1381.464480601,"2","3","1","1"
"Fern<e1>nNAN<fa><f1>ez",14027,0.0287576290472742,27.303828285,0.0121461802045699,42.7320164,21.7391304,0.313139584499171,0.0219820006227371,788.916569628,"2","1","3","1"
"Fuente Carreteros",14901,0.16928060006819,82.485887637,0.13043247717831,14.826915597,31.2209649,0.00842053371223798,0.0282436010503089,1038.592891247,"3","3","3","3"
"Fuente la Lancha",14028,-0.234421364985163,76.882656322,0.0176517991632776,0,38.5049365,1,0.0143422354005935,1993.463732194,"2","4","2","3"
"Fuente Obejuna",14029,-0.268590455049944,85.192156719,0.0138427256136901,0.25810507,36.4166569,0.342277032756931,0.00669626341398446,1019.797556473,"2","3","2","2"
"Fuente Palmera",14030,-0.0023462205447312,41.919437164,0.00837156565093349,1.702639952,20.6023659,0.908505368681322,0.0472729436560237,1103.571295104,"1","3","4","2"
"FuenteNAT<f3>jar",14031,-0.199704142011834,81.724062802,0.0834613313344193,68.005704778,23.9921861,0.00480286671898446,0.0399408284171598,0,"4","1","4","3"
"Granjuela (La)",14032,-0.180555555555556,84.490521948,0.00322766356335452,0.060156407,38.7096774,0.0245762070835908,0.00482253085648148,1440.547874187,"2","4","2","2"
"Guadalc<e1>zar",14033,0.264404609475032,23.496419254,0.00576699011547715,14.826915597,24.6968026,0,0.0525501493854033,0,"1","1","4","2"
"Guijarrosa (La)",14902,-0.00464070770792546,49.209451394,0.437494147274778,10.016764458,23.1855927,0.0245762070835908,0.0463980463809524,1003.594753395,"3","1","4","3"
"Guijo (El)",14034,-0.171919770773639,85.749999759,0.00982639045710561,0,21.192053,0.0245762070835908,0.00214899713467049,3862.614985915,"2","4","1","2"
"Hinojosa del Duque",14035,-0.168910831837223,89.440120573,0.00125392987708801,0.002117478,30.8989213,0.00962346709970055,0.00169559146319569,828.318662345,"2","2","1","1"
"Hornachuelos",14036,-0.0376355988487934,46.063292964,0.22827252056818,16.550678914,22.7932113,0.61563228908747,0.0477824514810715,1355.425205693,"2","3","4","3"
"Izn<e1>jar",14037,-0.18339016074038,95.285811406,0.173154700741641,69.63814705,18.7053021,0.765509014965343,0.0379119986994642,1333.724867402,"4","2","3","4"
"Lucena",14038,0.133077355309983,66.328419896,0.049672569676179,54.697562925,26.6038748,0.26826271065225,0.0125394112495317,1085.716755076,"3","3","2","3"
"Luque",14039,-0.129032258064516,68.248289554,0.117264775797359,51.294155298,23.3866442,0.0245762070835908,0.054074702893039,1185.43742819,"3","1","4","3"
"Montalb<e1>n de C<f3>rdoba",14040,-0.0221385875581138,37.589349361,0.0215296552185544,54.833388321,13.6517779,0.0245762070835908,0.0433547339716626,1000.335455558,"2","1","4","2"
"Montemayor",14041,0.0103869124902623,30.904958118,0.0122912581258549,51.664886905,21.9067405,0.0213069945705593,0.0451397905297325,996.342832685,"2","1","4","2"
"Montilla",14042,-0.0129015154862369,40.806134861,0.016572547009037,59.658523597,22.5663042,0.133303633653932,0.014937627947687,913.26316943,"3","1","2","2"
"Montoro",14043,-0.0190661900119164,42.604070959,0.224039627115389,33.154756761,24.2031922,0.313139584499171,0.0295110677781389,940.318565784,"3","2","3","3"
